,Return,Risk,Sharpe,SystRisk_var,TotalRisk_var,UnsystRisk_var,beta,capm_ret,alpha,Er
AST,1.3488281869993468,1.7968221627843635,0.7290806035970313,0.9585292000678267,3.2285698846730777,2.270040684605251,1.92519795263725,1.424906178730663,-0.07607799173131613,1.4996038592929881
ASTR,0.2913518971159658,1.0910044873733595,0.23148566301866955,0.5413183177300622,1.190290791468807,0.6489724737387448,1.0872333539189132,0.8215874881773384,-0.5302355910613725,0.863772142309392
ATA,0.30704572703524025,1.590527848861592,0.16865201525847853,0.7778540392099565,2.529778838004283,1.7519247987943265,1.5623133897555306,1.1636361446090846,-0.8565904175738444,1.2242539041315992
ATM,0.7337744599824019,1.3300581679072405,0.5225143356518751,0.4364792517332997,1.7690547300167652,1.3325754782834656,0.8766649589247006,0.6699822192505478,0.06379224073185408,0.703996819656826
ATOM,0.7666843537955126,1.1935317244157693,0.6098575671725945,0.766601529636149,1.42451797718688,0.6579164475507309,1.539712817553878,1.147364159316016,-0.3806798055205034,1.2071050166371062
AUTO,0.292555752978864,1.7204656830965794,0.14749248152520067,0.7923077738313213,2.9600021667129797,2.1676943928816583,1.5913435959287432,1.184537344972088,-0.8919815919932239,1.246281476494123
AVA,1.062196877952728,1.367389073357969,0.7484313703337695,0.6761849475671067,1.869752877938765,1.1935679303716584,1.3581118619737444,1.0166148998706706,0.04558197808205744,1.0693096401152518
AVAX,1.2563590813312793,1.262993370693908,0.9640265021045468,0.7914017352947269,1.5951522544167593,0.8037505191220324,1.5895238250385726,1.1832271442879014,0.07313193704337784,1.244900668699398
AXS,2.1923717922356487,1.5484073711670316,1.3908302377897528,0.8125038874186682,2.3975653870843976,1.5850614996657293,1.6319073226538532,1.2137424623829993,0.9786293298526494,1.2770604665019687
BAKE,2.4229959269743446,2.3026547757600384,1.0354118003587367,0.871286750912888,5.302219016330513,4.430932265417625,1.7499722167032143,1.298746957068246,1.1242489699060987,1.3666458790763305
BAL,0.3157493236254809,1.1690211054282913,0.23690703473143515,0.7687817754211763,1.3666103449367841,0.5978285695156078,1.5440918231400234,1.1505169606637098,-0.8347676370382289,1.2104277234015426
